step,tag,value
0,train/reward,0.4823397994041443
0,train/actor_loss,0.010772565379738808
0,train/critic_loss,2.8234691619873047
0,train/entropy,5.682132244110107
0,train/episode_length_steps,64.56331899342507
0,train/fps,3705.6568094024965
10,train/reward,0.4620375633239746
10,train/actor_loss,-0.021702507510781288
10,train/critic_loss,0.4713989198207855
10,train/entropy,5.30034875869751
10,train/episode_length_steps,64.46805216107582
10,train/fps,25979.507965622342
20,train/reward,0.5331381559371948
20,train/actor_loss,-0.018861254677176476
20,train/critic_loss,1.2808712720870972
20,train/entropy,4.638633728027344
20,train/episode_length_steps,79.14349426565194
20,train/fps,37445.11109979871
30,train/reward,0.6004794239997864
30,train/actor_loss,-0.013114163652062416
30,train/critic_loss,3.9104881286621094
30,train/entropy,4.055278778076172
30,train/episode_length_steps,106.55124724790304
30,train/fps,43883.33244067176
40,train/reward,0.6734174489974976
40,train/actor_loss,-0.009145036339759827
40,train/critic_loss,9.167019844055176
40,train/entropy,3.5705089569091797
40,train/episode_length_steps,140.0145812059959
40,train/fps,48010.01222996692
50,train/reward,0.7751809358596802
50,train/actor_loss,-0.008037877269089222
50,train/critic_loss,12.391324996948242
50,train/entropy,3.144798517227173
50,train/episode_length_steps,218.40562189721115
50,train/fps,51578.417276976375
60,train/reward,0.8432677984237671
60,train/actor_loss,-0.006872837897390127
60,train/critic_loss,13.219120979309082
60,train/entropy,2.7638113498687744
60,train/episode_length_steps,256.93788752393425
60,train/fps,53079.06609614032
70,train/reward,0.9095335006713867
70,train/actor_loss,-0.005878122989088297
70,train/critic_loss,13.914473533630371
70,train/entropy,2.445345640182495
70,train/episode_length_steps,335.1101699227823
70,train/fps,55229.0260670365
80,train/reward,0.9522233009338379
80,train/actor_loss,-0.0025826620403677225
80,train/critic_loss,13.44227123260498
80,train/entropy,2.1205832958221436
80,train/episode_length_steps,376.50187111134966
80,train/fps,56582.831311984504
90,train/reward,1.000459909439087
90,train/actor_loss,-0.003719969419762492
90,train/critic_loss,12.410598754882812
90,train/entropy,1.7900631427764893
90,train/episode_length_steps,415.92851878471697
90,train/fps,57925.296159069636
100,train/reward,1.0267876386642456
100,train/actor_loss,-0.0006372742354869843
100,train/critic_loss,10.312159538269043
100,train/entropy,1.4468425512313843
100,train/episode_length_steps,467.89525726014426
100,train/fps,58680.17903246975
110,train/reward,1.070770263671875
110,train/actor_loss,-3.404594099265523e-05
110,train/critic_loss,8.380571365356445
110,train/entropy,1.1352074146270752
110,train/episode_length_steps,485.2163026991578
110,train/fps,59367.46879778568
120,train/reward,1.0884809494018555
120,train/actor_loss,0.0001125893322750926
120,train/critic_loss,5.670948505401611
120,train/entropy,0.8474354147911072
120,train/episode_length_steps,626.745699462584
120,train/fps,60288.762953002035
130,train/reward,1.1237140893936157
130,train/actor_loss,0.002394953276962042
130,train/critic_loss,4.232715606689453
130,train/entropy,0.5550374984741211
130,train/episode_length_steps,635.8672602255715
130,train/fps,60815.1239625451
140,train/reward,1.1365147829055786
140,train/actor_loss,0.003230988746508956
140,train/critic_loss,3.432687759399414
140,train/entropy,0.25167402625083923
140,train/episode_length_steps,595.4270735573396
140,train/fps,61516.75443907062
150,train/reward,1.1675794124603271
150,train/actor_loss,0.00487712724134326
150,train/critic_loss,2.518883466720581
150,train/entropy,-0.03978506475687027
150,train/episode_length_steps,620.8086699810817
150,train/fps,61892.21873857538
160,train/reward,1.1983225345611572
160,train/actor_loss,0.00709878746420145
160,train/critic_loss,0.9897452592849731
160,train/entropy,-0.3293221592903137
160,train/episode_length_steps,587.4215492497611
160,train/fps,62492.96542910511
170,train/reward,1.222084879875183
170,train/actor_loss,0.004598218481987715
170,train/critic_loss,0.5874341130256653
170,train/entropy,-0.6094837188720703
170,train/episode_length_steps,700.4288416623831
170,train/fps,62800.55349079966
180,train/reward,1.2462971210479736
180,train/actor_loss,0.008763348683714867
180,train/critic_loss,0.820767343044281
180,train/entropy,-0.9053889513015747
180,train/episode_length_steps,739.9718102535958
180,train/fps,63201.084556880975
190,train/reward,1.258394479751587
190,train/actor_loss,0.010538274422287941
190,train/critic_loss,0.6208330988883972
190,train/entropy,-1.1614856719970703
190,train/episode_length_steps,903.12844929582
190,train/fps,63442.972617771564
200,train/reward,1.2689199447631836
200,train/actor_loss,0.012757203541696072
200,train/critic_loss,0.4369373321533203
200,train/entropy,-1.411401391029358
200,train/episode_length_steps,890.8519337098286
200,train/fps,63647.06649707228
210,train/reward,1.2815570831298828
210,train/actor_loss,0.010762435384094715
210,train/critic_loss,0.1980610340833664
210,train/entropy,-1.6600509881973267
210,train/episode_length_steps,1007.2306174500739
210,train/fps,64033.39106667119
220,train/reward,1.2940492630004883
220,train/actor_loss,0.011063273064792156
220,train/critic_loss,0.1356036216020584
220,train/entropy,-1.9161001443862915
220,train/episode_length_steps,999.549519430452
220,train/fps,64093.31395804727
230,train/reward,1.3022925853729248
230,train/actor_loss,0.014467179775238037
230,train/critic_loss,0.1083046942949295
230,train/entropy,-2.228719472885132
230,train/episode_length_steps,873.0504502092679
230,train/fps,64421.7246841464
240,train/reward,1.3128795623779297
240,train/actor_loss,0.01208543311804533
240,train/critic_loss,0.16830436885356903
240,train/entropy,-2.5136005878448486
240,train/episode_length_steps,935.352867349791
240,train/fps,64559.40115828305
250,train/reward,1.3241499662399292
250,train/actor_loss,0.015339198522269726
250,train/critic_loss,0.08307313174009323
250,train/entropy,-2.767697811126709
250,train/episode_length_steps,969.9619640403653
250,train/fps,64808.80606279254
260,train/reward,1.331694483757019
260,train/actor_loss,0.020253462716937065
260,train/critic_loss,0.07379784435033798
260,train/entropy,-3.005880832672119
260,train/episode_length_steps,1047.4776400860692
260,train/fps,64867.79703936785
270,train/reward,1.3371944427490234
270,train/actor_loss,0.023846067488193512
270,train/critic_loss,0.05854494497179985
270,train/entropy,-3.22269868850708
270,train/episode_length_steps,1022.9524966434373
270,train/fps,64764.56506066926
280,train/reward,1.3422980308532715
280,train/actor_loss,0.028614595532417297
280,train/critic_loss,0.05912331864237785
280,train/entropy,-3.4497838020324707
280,train/episode_length_steps,1470.5533890583072
280,train/fps,64825.20062310459
290,train/reward,1.3232269287109375
290,train/actor_loss,0.01670384407043457
290,train/critic_loss,5.004197597503662
290,train/entropy,-3.5596249103546143
290,train/episode_length_steps,410.71525620670366
290,train/fps,64806.46875041566
300,train/reward,1.3097546100616455
300,train/actor_loss,0.03189783915877342
300,train/critic_loss,0.2137182205915451
300,train/entropy,-3.551422119140625
300,train/episode_length_steps,1007.2306174500739
300,train/fps,64621.09574293006
310,train/reward,1.3220163583755493
310,train/actor_loss,0.048095788806676865
310,train/critic_loss,0.1506066769361496
310,train/entropy,-3.5976498126983643
310,train/episode_length_steps,1082.0675309469727
310,train/fps,64631.92670039942
320,train/reward,1.3383231163024902
320,train/actor_loss,0.03629174828529358
320,train/critic_loss,0.2793072760105133
320,train/entropy,-3.655855894088745
320,train/episode_length_steps,2043.814268378361
320,train/fps,64466.14218391242
330,train/reward,1.325036644935608
330,train/actor_loss,0.02623785100877285
330,train/critic_loss,0.13872677087783813
330,train/entropy,-3.742048978805542
330,train/episode_length_steps,1039.1729644539928
330,train/fps,64487.90086542202
340,train/reward,1.3242602348327637
340,train/actor_loss,0.027828890830278397
340,train/critic_loss,0.1619310975074768
340,train/entropy,-3.8408825397491455
340,train/episode_length_steps,915.7480494521833
340,train/fps,64453.001090843165
350,train/reward,1.3342729806900024
350,train/actor_loss,0.023146657273173332
350,train/critic_loss,0.10002049058675766
350,train/entropy,-3.986499547958374
350,train/episode_length_steps,1270.9263799759592
350,train/fps,64393.865123674645
360,train/reward,1.3238801956176758
360,train/actor_loss,0.03858534246683121
360,train/critic_loss,0.18540063500404358
360,train/entropy,-4.093329906463623
360,train/episode_length_steps,735.817724153145
360,train/fps,64510.892188395075
370,train/reward,1.3178472518920898
370,train/actor_loss,0.05479239299893379
370,train/critic_loss,0.17875243723392487
370,train/entropy,-4.165065765380859
370,train/episode_length_steps,798.5812704616955
370,train/fps,64505.70946560298
380,train/reward,1.33250093460083
380,train/actor_loss,0.030141746625304222
380,train/critic_loss,0.09795309603214264
380,train/entropy,-4.322673320770264
380,train/episode_length_steps,803.4766056095065
380,train/fps,64593.47593594705
390,train/reward,1.3198429346084595
390,train/actor_loss,0.03772639483213425
390,train/critic_loss,0.3797247111797333
390,train/entropy,-4.350101947784424
390,train/episode_length_steps,620.8086699810817
390,train/fps,64625.13992234664
400,train/reward,1.3175666332244873
400,train/actor_loss,0.044737886637449265
400,train/critic_loss,0.3221297562122345
400,train/entropy,-4.241515636444092
400,train/episode_length_steps,689.3770629978882
400,train/fps,64619.044148344175
410,train/reward,1.3144221305847168
410,train/actor_loss,0.05111267790198326
410,train/critic_loss,0.2337895929813385
410,train/entropy,-4.251339912414551
410,train/episode_length_steps,774.9729156804493
410,train/fps,64731.15405048751
420,train/reward,1.3174152374267578
420,train/actor_loss,0.0531066358089447
420,train/critic_loss,0.3973584473133087
420,train/entropy,-4.170020580291748
420,train/episode_length_steps,765.9158472401787
420,train/fps,64735.82489647585
430,train/reward,1.312588095664978
430,train/actor_loss,0.049002695828676224
430,train/critic_loss,0.5398057699203491
430,train/entropy,-4.0803656578063965
430,train/episode_length_steps,793.7452256108409
430,train/fps,64822.903179731904
440,train/reward,1.3154125213623047
440,train/actor_loss,0.04792032390832901
440,train/critic_loss,0.5078068375587463
